model,split,dt,horizon_seconds,runs,rmse_position,rmse_velocity,rmse_roll_pitch,rmse_roll_pitch_rates,rmse_legacy_10_state,rmse_yaw,rmse_yaw_rate,rmse_full_12_state,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_phi,rmse_theta,rmse_psi,rmse_p,rmse_q,rmse_r,worst_window_position_rmse,divergent_windows,windows
learning_full56_f010,test,0.01,1.0,9,0.020696297504368952,0.05435856748722044,0.0164155978550016,0.08816449635223376,0.051219598113335964,0.028798487599257325,0.15736485346393278,0.0657187963362627,0.0257612505850322,0.02449687585672352,0.004612074665863495,0.06675454815919453,0.0650006490416056,0.013539110089658475,0.016444652644185903,0.016386491549027084,0.028798487599257325,0.07846495411434028,0.09689792469356892,0.15736485346393278,0.10782329965656014,0,540
learning_full56_f010,test,0.01,2.0,9,0.07421472422892451,0.09841768508082988,0.01914721042222537,0.09603316367810948,0.0804733287947586,0.03743961117822343,0.19657858205867368,0.09345428021340546,0.09101292455041624,0.0884860283287811,0.020257004529405053,0.12094437599696223,0.11674379705308735,0.02831017439616336,0.019980885792843062,0.018275544775445515,0.03743961117822343,0.09011113935201716,0.10161062747928719,0.19657858205867368,0.3595718358079227,0,540
learning_full56_f025,validation,0.01,0.1,9,0.0005688008043843994,0.009810021464561744,0.004526854668516402,0.03513405675858606,0.01673161343529524,0.0052321737862993335,0.03732226725922865,0.01875232465007306,0.0006600536357926103,0.0007196583300966956,0.00013047663010827226,0.011710751613702624,0.012289622021285352,0.0007301031581810796,0.004624443769765944,0.004427114884437768,0.0052321737862993335,0.028485343023888367,0.0407110442195052,0.03732226725922865,0.0027379595344995595,0,540
learning_full56_f025,validation,0.01,0.5,9,0.008658185797824059,0.04429071029085208,0.017763677275645217,0.08560761450501145,0.04625831534039836,0.02701040048429155,0.1092960883924881,0.053286579027570134,0.010136531835993017,0.010975752400775918,0.0012946526575450374,0.052065509120921755,0.05582509742255754,0.007598836223116354,0.017031973736429444,0.01846641089513948,0.02701040048429155,0.07602852133110698,0.09421778636055246,0.1092960883924881,0.051905970237036636,0,540
learning_full56_f025,validation,0.01,1.0,9,0.03394690741973338,0.09073701456534945,0.024193998386833202,0.09087482833771264,0.06770817009304772,0.036129466027249875,0.1258449017524165,0.07244897088409903,0.038774572972925005,0.043621409893782395,0.007133208235975216,0.10178189178412636,0.11771103539214736,0.02200400164629911,0.02060743840646494,0.02731359731357129,0.036129466027249875,0.08496652570896378,0.09642177326602885,0.1258449017524165,0.22010831472711842,0,540
learning_full56_f025,validation,0.01,2.0,9,0.13384897333647888,0.17272106915323115,0.027796944876425925,0.09146302258770894,0.1270907767970122,0.040946960116904976,0.13636884598972704,0.12308322765784169,0.1494033545978676,0.17363427371198642,0.035727015228019326,0.19299991813362194,0.22294311320781918,0.05044901447923948,0.020707304291900083,0.03341478472007233,0.040946960116904976,0.08894366059898298,0.09391482439430122,0.13636884598972704,0.8555580177835307,0,540
learning_full56_f025,test,0.01,0.1,9,0.0005460273156306669,0.004764353948249164,0.005030230182547519,0.02174303226894266,0.010320450469801326,0.008407820181555463,0.018667616514595236,0.011121631795505491,0.0006784150426896341,0.0006466825112602272,0.00012646045914468305,0.00625749669048812,0.0053240192149027615,0.0007718550385069756,0.005053395037841859,0.005006958155441222,0.008407820181555463,0.019777265220905477,0.02354524760707617,0.018667616514595236,0.0018065044780437825,0,540
learning_full56_f025,test,0.01,0.5,9,0.0051882818847408625,0.02374307399243507,0.014957253186228276,0.06787644688809474,0.03381392971045498,0.026071743900537372,0.10883648138200977,0.04468308212126418,0.006423021189370051,0.006198662530727063,0.0010373949959655156,0.028577640892782575,0.029129959328564766,0.0050955469137339785,0.01409489466701852,0.015772532773132054,0.026071743900537372,0.06800683851035923,0.0677458042990901,0.10883648138200977,0.023008377430253014,0,540
learning_full56_f025,test,0.01,1.0,9,0.02004880008488727,0.05556024685033675,0.017333180615984645,0.08499311853018436,0.05051259737951219,0.028027756320080314,0.1557800949679679,0.06491546942807876,0.02313083827857796,0.025533730571552147,0.0043423585942415485,0.06173127588843524,0.07280700192510117,0.012215282971559613,0.015896422171900647,0.018659637259748573,0.028027756320080314,0.07936582330207498,0.09027029681216159,0.1557800949679679,0.0862395013199625,0,540
learning_full56_f025,test,0.01,2.0,9,0.07892118171274054,0.10416618268719006,0.01955569881081821,0.09365141027637217,0.08339272367607084,0.033682329779725635,0.1855670527822991,0.09359179720058887,0.0895992043058134,0.10153518519122938,0.018661391286667203,0.12084540129923706,0.1315637653351296,0.02528132675577924,0.019508567323312603,0.019602716978792845,0.033682329779725635,0.08837830236462266,0.09864303809521532,0.1855670527822991,0.32454537133284983,0,540
