family,replicate,scenario_seed,controller,plant_id,tmax_s,capture_radius_m,intercept_lead_s,controller_period_s,initial_yaw_rad,target_peak_speed_mps,target_peak_acceleration_mps2,captured,capture_time,capture_relative_speed,minimum_separation,final_separation,separation_rmse,qualified_dwell_s,qualified_time_reference,qualified_sample_convention,qualified_capture_speed_2p0_mps,qualified_capture_time_speed_2p0_mps_s,qualified_capture_speed_3p0_mps,qualified_capture_time_speed_3p0_mps_s,qualified_capture_speed_5p0_mps,qualified_capture_time_speed_5p0_mps_s,failure_aware_capture_time_s,mean_solve_ms,p95_solve_ms,failed_solves,allocator_altered_steps
helix,4,802004,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,1.4647282500775125,2.7432814667061596,1.4124240835013417,1,3.47,0.965935621264519,0.0666001658753064,0.08511617938978022,3.611681255700677,0.2,dwell_end,elapsed_interval,1,3.67,1,3.67,1,3.67,3.47,4.532356399562559,5.6443600202328525,0,0
helix,4,802004,Linear MPC,nominal,20.0,0.75,0.0,0.01,1.4647282500775125,2.7432814667061596,1.4124240835013417,1,3.19,1.299631875662839,0.0761493546694238,0.07615131887828355,3.6774172312197346,0.2,dwell_end,elapsed_interval,1,3.39,1,3.39,1,3.39,3.19,5.432104550040094,7.266975000675301,0,0
helix,4,802004,PID,nominal,20.0,0.75,0.0,0.01,1.4647282500775125,2.7432814667061596,1.4124240835013417,1,16.72,6.343068583292687,0.24553941121459696,1.647799962098481,8.533787483662676,0.2,dwell_end,elapsed_interval,0,nan,0,nan,0,nan,16.72,0.0,0.0,0,0
helix,5,802005,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-0.9260428594937745,2.1849855886975136,1.2776415748237686,1,3.0300000000000002,0.8323322301106293,0.05206815448422161,0.08893272731901058,1.6546367012909846,0.2,dwell_end,elapsed_interval,1,3.23,1,3.23,1,3.23,3.0300000000000002,4.620973799581407,5.151184991700575,0,0
helix,5,802005,Linear MPC,nominal,20.0,0.75,0.0,0.01,-0.9260428594937745,2.1849855886975136,1.2776415748237686,1,2.68,1.223510211901799,0.055434050341704275,0.06513546396534486,1.7007975291466015,0.2,dwell_end,elapsed_interval,1,2.88,1,2.88,1,2.88,2.68,5.326143300073454,7.128575000388082,0,0
helix,5,802005,PID,nominal,20.0,0.75,0.0,0.01,-0.9260428594937745,2.1849855886975136,1.2776415748237686,1,5.12,4.0402318822986825,0.29144732004343243,0.7965191730655893,2.1635431678454298,0.2,dwell_end,elapsed_interval,1,9.49,1,5.54,1,5.32,5.12,0.0,0.0,0,0
helix,6,802006,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,0.19917652620258736,2.0921146939570763,1.0400385934405483,1,3.4,0.9289156062112894,0.04552920932027958,0.07554223474532493,2.839158451608388,0.2,dwell_end,elapsed_interval,1,3.6,1,3.6,1,3.6,3.4,4.688123899890343,5.975934983871411,0,0
helix,6,802006,Linear MPC,nominal,20.0,0.75,0.0,0.01,0.19917652620258736,2.0921146939570763,1.0400385934405483,1,3.52,0.9560379197943553,0.04961060102412303,0.049954846764839224,2.9378499162876817,0.2,dwell_end,elapsed_interval,1,3.72,1,3.72,1,3.72,3.52,5.398643350068596,7.419330002448987,0,0
helix,6,802006,PID,nominal,20.0,0.75,0.0,0.01,0.19917652620258736,2.0921146939570763,1.0400385934405483,1,10.620000000000001,5.659235847964208,0.4405682327623953,0.6910203762713883,5.355417492686634,0.2,dwell_end,elapsed_interval,1,16.35,1,16.26,1,12.620000000000001,10.620000000000001,0.0,0.0,0,0
helix,7,802007,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-0.5081383427043864,2.732890018857069,1.6581313435978149,1,3.43,0.8918417591778823,0.07460386346543531,0.10049232824263198,2.275830768406921,0.2,dwell_end,elapsed_interval,1,3.63,1,3.63,1,3.63,3.43,4.181371149941697,5.593645012413617,0,0
helix,7,802007,Linear MPC,nominal,20.0,0.75,0.0,0.01,-0.5081383427043864,2.732890018857069,1.6581313435978149,1,2.91,2.1649449525862496,0.09029645243180069,0.09341628833944576,2.369813869067265,0.2,dwell_end,elapsed_interval,1,3.17,1,3.11,1,3.11,2.91,5.410489650384989,7.097454997710884,0,0
helix,7,802007,PID,nominal,20.0,0.75,0.0,0.01,-0.5081383427043864,2.732890018857069,1.6581313435978149,1,10.56,4.769344656957199,0.06997461474025812,0.9515471426629413,4.515291610715862,0.2,dwell_end,elapsed_interval,1,15.65,1,15.65,1,10.76,10.56,0.0,0.0,0,0
helix,8,802008,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-1.21204602213187,2.3537078602535635,1.3149691693522783,1,2.88,0.8117134206303197,0.062078065439722725,0.09743481258056039,1.5355578079012315,0.2,dwell_end,elapsed_interval,1,3.08,1,3.08,1,3.08,2.88,4.833369649844826,5.941495011211373,0,0
helix,8,802008,Linear MPC,nominal,20.0,0.75,0.0,0.01,-1.21204602213187,2.3537078602535635,1.3149691693522783,1,2.92,1.1927085968583901,0.06616781951499794,0.06827828797727559,1.6571288653427954,0.2,dwell_end,elapsed_interval,1,3.12,1,3.12,1,3.12,2.92,5.7293990003090585,7.095819985261187,0,0
helix,8,802008,PID,nominal,20.0,0.75,0.0,0.01,-1.21204602213187,2.3537078602535635,1.3149691693522783,1,2.15,5.197213904661488,0.15512766282229407,0.8466897909628874,1.8670658243321172,0.2,dwell_end,elapsed_interval,1,5.13,1,5.0,1,5.0,2.15,0.0,0.0,0,0
helix,9,802009,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-2.32369117655244,2.6364536334029296,1.3663452990899931,1,2.54,0.8430544440329459,0.06376219074680513,0.09230176949552289,1.3624052597121545,0.2,dwell_end,elapsed_interval,1,2.74,1,2.74,1,2.74,2.54,4.85348860018712,5.661579978186637,0,0
helix,9,802009,Linear MPC,nominal,20.0,0.75,0.0,0.01,-2.32369117655244,2.6364536334029296,1.3663452990899931,1,2.66,1.1176344533313247,0.07264699182587647,0.07266009018817814,1.4520197170784208,0.2,dwell_end,elapsed_interval,1,2.86,1,2.86,1,2.86,2.66,5.778121899988037,7.226644991897047,0,0
helix,9,802009,PID,nominal,20.0,0.75,0.0,0.01,-2.32369117655244,2.6364536334029296,1.3663452990899931,1,5.67,3.1102490475280042,0.12312487686524919,0.9591000326066538,1.8765598056859627,0.2,dwell_end,elapsed_interval,1,6.1000000000000005,1,5.9,1,5.87,5.67,0.0,0.0,0,0
