controller,family,replicate,run_index,aggressiveness_scale,reference_peak_speed_mps,reference_peak_acceleration_mps2,reference_p95_implied_tilt_deg,reference_peak_implied_tilt_deg,position_rmse_m,velocity_rmse_mps,yaw_rmse_rad,yaw_rate_rmse_radps,position_vector_rmse_m,actual_p95_tilt_deg,actual_peak_tilt_deg,command_peak_tilt_deg,body_rate_rms_radps,body_rate_p99_radps,body_rate_max_radps,roll_pitch_step_rms_rad,roll_pitch_step_p99_rad,roll_pitch_step_max_rad,failed_solves,allocator_altered_steps,mean_solve_ms,p95_solve_ms,p99_solve_ms,max_solve_ms
yaw_scheduled_hover,helix,1,790001,1.75,3.771471327001496,1.1544992364276634,6.53284960401991,6.760419259659638,0.008063005054750359,0.0036523161458702864,0.0013595049863582326,0.001687426581235139,0.013965534416512297,6.504726668444906,7.084380398081215,7.094833564886422,0.11689677325980258,0.24322206988354048,0.26741787405037676,0.0003418850716399216,0.001884950377050545,0.004500407172235672,0,0,1.9153361451640822,2.5944599939975888,2.979382013436407,7.537800003774464
yaw_scheduled_hover,helix,2,790002,1.75,2.7206235808352592,0.8434517609208042,4.697585956299364,4.883106586791244,0.006631449451951269,0.003039543717714426,0.0016701092135671394,0.001121455199079758,0.011486007378604385,4.58979337664023,4.993712689832709,5.004604990371318,0.1426741925368367,0.28562761021157396,0.29533842770966773,0.00024535494325796033,0.001308144096656142,0.0031684581559904028,0,0,1.3703706236565487,1.581480019376613,2.024537990801036,3.4496999869588763
yaw_scheduled_hover,helix,3,790003,1.75,2.850133308976447,0.9648443005123726,5.618749149411474,5.626927656518065,0.008407812019723881,0.004051312315892201,0.00205788694164711,0.001965924997781585,0.014562757598650061,5.616468047840679,5.693285160711151,5.73474924328482,0.17583163350532238,0.3503904357152451,0.36022450673485734,0.00027114729883493066,0.0014650744911343676,0.003425489782910095,0,0,1.709429409638918,2.1204700198723003,2.3837020189967006,3.8229000056162477
yaw_scheduled_hover,helix,4,790004,1.75,2.011226955690129,0.6211641978133088,3.55270199342179,3.626414947282248,0.004777383323269224,0.0021718783731643917,0.0015626531866866791,0.0007128352944278935,0.008274670643134549,3.5136253260804535,3.82827462184604,3.8359667881437614,0.13320035193357294,0.2648656653732321,0.2698285858925838,0.00018409914628049598,0.0009709701466379286,0.0023842204750444958,0,0,1.9908956314516126,2.7016599953640252,2.996649999404326,3.632500011008233
yaw_scheduled_hover,helix,5,790005,1.75,2.25955459166832,0.6849596818084702,3.8147236834951483,3.959360294131268,0.004022178988098563,0.0018698641024812329,0.001030164358170732,0.00045033296403687904,0.006966618364522687,3.8460663209114943,4.18644091284532,4.191727343419021,0.08823049357873705,0.17960711329569173,0.18960041238350445,0.0001977059705946274,0.0010605597170228465,0.0026261965251200984,0,0,1.881518306188666,2.30713000637479,2.60928398987744,3.5580999974627048
yaw_scheduled_hover,helix,6,790006,1.75,1.857684985299853,0.5678289230049591,3.0679262384902355,3.1929387627133394,0.0038371982675461332,0.001739375622623801,0.0013808179542180742,0.0006017093048880218,0.006646222358105178,3.0467215934383725,3.3161530202632927,3.3218255570003232,0.11759478641255763,0.23377161597359516,0.23775860986258415,0.00015959079820280356,0.0008427101357158195,0.0020859536459240167,0,0,1.9360485497613509,2.476649999152869,2.745976012083702,3.544600011082366
yaw_scheduled_hover,helix,7,790007,1.75,4.1104723712664715,1.2732753547059625,7.270867989691246,7.452403989421891,0.01002971505527247,0.004581302841333391,0.0016225759114548487,0.0027588426862769147,0.017371976061170406,7.156325353129395,7.787492144163359,7.8054030415257465,0.13909200988648562,0.28684246358532445,0.313444908747615,0.00038149321006832005,0.002158345061776941,0.004962311997882893,0,0,1.5280740253677607,2.03789000515826,2.4374700197950006,2.9887999990023673
yaw_scheduled_hover,helix,8,790008,1.75,2.588216833674409,0.7889917163989656,4.401057376162242,4.572449196010915,0.00516403109366535,0.0023480832086775136,0.00124696399591668,0.0006575961558349563,0.008944364226093862,4.398842989498283,4.787318706265833,4.794608076074707,0.10676491525430794,0.2164902384173429,0.22780498496596296,0.00022888581328422506,0.001223995246377628,0.003014388939226133,0,0,1.3433482496998892,1.4602199982618913,1.6853639972396193,2.195300010498613
yaw_scheduled_hover,helix,9,790009,1.75,4.233740668271219,1.6490297072671634,9.54522986519044,9.551637525490957,0.015081283690664136,0.007598971575775133,0.00238497868781744,0.006303245144847622,0.026121549595590154,9.53571325652535,9.686688673818033,9.763357726143523,0.20362672800686007,0.4097645519702379,0.43331805599853923,0.00041608954947248603,0.0022666323763165666,0.005126182442189509,0,0,1.3562157054529713,1.5797099797055123,1.9356480112764982,2.6264000043738633
edmdc,lissajous,0,792000,1.75,8.75,3.546498512463233,15.661627900526131,16.223291372095424,0.08698207022370794,0.058259621424756804,0.00750926700470142,0.01502260021578331,0.15065736497498614,15.46441077588567,17.058001907574088,17.033623696902794,0.1875278167356478,0.8387575077481404,0.847357072115872,0.0007483612297698627,0.0028398172985025973,0.012783061977123082,0,0,2.999722974438707,3.507400015951134,3.821367989876307,5.233900010352954
edmdc,lissajous,1,792001,1.75,8.750000000000002,3.291300050545196,15.545013849126434,16.42071160990473,0.08288430290486039,0.05070219556423186,0.0030949447356622708,0.008779091259363063,0.1435598237811469,13.12049573413135,13.622453057486595,13.547748751528346,0.1498390886527316,0.4564028932672691,0.45804916806253587,0.000594145039382772,0.0019279098999155078,0.01136053053409216,0,0,3.036250283392118,3.6142899916740134,4.303566021262667,6.301799992797896
edmdc,lissajous,2,792002,1.75,8.75,6.44715576837574,32.99126184456229,33.603867586528004,0.3078038603407115,0.3239865249328763,0.024072124357906025,0.0954755777362511,0.5331319248759473,26.519222998165414,28.415418348692555,25.78319731595471,0.329462355203923,1.3528449246806853,1.4759774799453667,0.0038019624980058617,0.020206027254945087,0.03132424493598048,0,0,3.2946201733738323,5.275070003699511,6.461725988192483,9.245000022929162
edmdc,lissajous,3,792003,1.75,8.75,6.265943310632237,33.04904887008584,34.79700324753549,0.3477060565423524,0.32672310156780177,0.022086013024621577,0.09026322142518364,0.6022445560307712,26.44613436944684,26.976808914314997,25.78315302592298,0.33374590442396407,1.7879940879779115,1.9508559819687707,0.004016584969024426,0.02611294241449255,0.03131188129163547,0,0,4.0976744584652876,5.451320006977767,6.070764005417004,7.168599986471236
edmdc,lissajous,4,792004,1.75,8.75,6.239770481661866,31.241064243997606,32.551352626080536,0.38969201416664445,0.3255903114420075,0.01749586684033947,0.09479508518758265,0.6749663678404788,26.190814834300987,26.607536233079422,25.783114349412585,0.33390225738745477,1.5898768141059774,2.3591337646065327,0.0035680056911521095,0.02005255872836565,0.03673896717671524,0,0,5.098066755831561,6.331580012920313,6.647622005548328,9.208400006173179
edmdc,lissajous,5,792005,1.75,8.749999999999998,6.174920647884509,32.54236587635649,33.22872810229077,0.32960262051920675,0.299787996067323,0.024710026297923553,0.09242348688172035,0.5708884850471102,26.710212905076602,27.54243538557994,25.78319120708176,0.35219477897736906,1.5525143148920946,2.3769265291221133,0.0040428203832532745,0.02505252397239414,0.03561396638095697,0,0,4.972604134654338,6.036889998358673,6.577342023956589,7.440199988195673
edmdc,lissajous,6,792006,1.75,8.75,4.8656201009796405,25.525153571517183,28.926334312748054,0.11826647496042242,0.08693007048719166,0.015991681040125955,0.04295011526028498,0.20484354346352404,24.599056905098696,26.633256519456864,25.783104877667597,0.2607579432446746,0.9391781982655897,0.9564945123346145,0.0015773136340402171,0.005891469697133396,0.012773131163080102,0,0,4.957156185308865,5.537139988155103,6.265712009044364,7.0779000234324485
